"","geoid10","area","numeric"
"545","17031711200","1102236.02815828",1102236.02815828
"546","17031711400","747486.485688762",747486.485688762
"547","17031081402","588263.514459416",588263.514459416
"548","17031710600","244932.570579669",244932.570579669
"549","17031061902","861874.85863081",861874.85863081
"550","17031030200","666196.490495242",666196.490495242
"551","17031030300","314151.114277384",314151.114277384
"552","17031030400","346489.138530416",346489.138530416
"553","17031030500","618133.295972702",618133.295972702
"554","17031030800","567411.755783834",567411.755783834
"555","17031242400","328050.701681763",328050.701681763
"556","17031242500","309812.319984475",309812.319984475
"557","17031242600","475743.141374675",475743.141374675
"558","17031242700","175571.404335485",175571.404335485
